Gene ID,Seed_Gene,GeneA,GeneB
0,ATG16L1,55054,55054
0,ATG16L1,55054,55054
0,ATG16L1,9140,55054
0,ATG16L1,8517,55054
0,ATG16L1,55054,1213
0,ATG16L1,55054,3308
0,ATG16L1,55054,2217
0,ATG16L1,55054,1213
0,ATG16L1,55054,9474
0,ATG16L1,55054,1173
0,ATG16L1,23001,55054
0,ATG16L1,55054,351
0,ATG16L1,9474,55054
0,ATG16L1,9474,55054
0,ATG16L1,5702,55054
0,ATG16L1,26100,55054
0,ATG16L1,57405,55054
0,ATG16L1,171024,55054
0,ATG16L1,83452,55054
0,ATG16L1,9545,55054
0,ATG16L1,55054,83452
0,ATG16L1,55054,9545
0,ATG16L1,55054,9363
0,ATG16L1,55054,11021
0,ATG16L1,9363,55054
0,ATG16L1,11021,55054
0,ATG16L1,55054,83452
0,ATG16L1,55054,9363
0,ATG16L1,55054,9474
0,ATG16L1,55054,10188
0,ATG16L1,55054,10188
0,ATG16L1,55054,9821
0,ATG16L1,55054,9474
0,ATG16L1,55054,9821
0,ATG16L1,55054,9776
0,ATG16L1,55054,8408
0,ATG16L1,9821,55054
0,ATG16L1,55054,9821
0,ATG16L1,9528,55054
0,ATG16L1,55054,9528
0,ATG16L1,9528,55054
0,ATG16L1,55054,64127
0,ATG16L1,55054,7097
0,ATG16L1,55054,80342
0,ATG16L1,55054,162989
0,ATG16L1,7316,55054
0,ATG16L1,7316,55054
0,ATG16L1,9821,55054
0,ATG16L1,55054,9821
0,ATG16L1,9474,55054
0,ATG16L1,26100,55054
0,ATG16L1,55054,9821
0,ATG16L1,10392,55054
0,ATG16L1,7316,55054
0,ATG16L1,55054,10392
0,ATG16L1,55054,64127
0,ATG16L1,10392,55054
0,ATG16L1,64127,55054
0,ATG16L1,4343,55054
0,ATG16L1,10482,55054
0,ATG16L1,345611,55054
0,ATG16L1,55054,345611
0,ATG16L1,1856,55054
0,ATG16L1,7514,55054
0,ATG16L1,55054,9474
0,ATG16L1,9474,55054
0,ATG16L1,9474,55054
0,ATG16L1,4210,55054
0,ATG16L1,9140,55054
0,ATG16L1,55054,8139
0,ATG16L1,55054,9474
0,ATG16L1,55054,8540
0,ATG16L1,55054,10574
0,ATG16L1,55054,10576
0,ATG16L1,55054,7203
0,ATG16L1,55054,6621
0,ATG16L1,64422,55054
0,ATG16L1,9474,55054
0,ATG16L1,81631,55054
0,ATG16L1,440738,55054
0,ATG16L1,1994,55054
0,ATG16L1,9474,55054
0,ATG16L1,55054,9474
0,ATG16L1,26100,55054
0,ATG16L1,64422,55054
0,ATG16L1,9321,55054
0,ATG16L1,121457,55054
0,ATG16L1,60592,55054
0,ATG16L1,11243,55054
0,ATG16L1,81035,55054
0,ATG16L1,57405,55054
0,ATG16L1,5702,55054
0,ATG16L1,10626,55054
0,ATG16L1,55054,10626
0,ATG16L1,55054,7316
0,ATG16L1,7046,77040
0,ATG16L1,658,77040
1,IL23R,3594,149233
1,IL23R,51561,149233
1,IL23R,10438,149233
2,IRGM,345611,345611
2,IRGM,345611,8408
2,IRGM,345611,55626
2,IRGM,345611,8678
2,IRGM,8678,345611
2,IRGM,345611,22863
2,IRGM,345611,55054
2,IRGM,55054,345611
2,IRGM,345611,64127
2,IRGM,64127,345611
2,IRGM,64127,345611
2,IRGM,345611,10392
2,IRGM,23586,345611
2,IRGM,345611,7098
3,ADAM30,11085,253558
3,ADAM30,11085,9509
3,ADAM30,4593,11085
3,ADAM30,11085,90701
3,ADAM30,11085,2295
3,ADAM30,11085,57556
3,ADAM30,11085,821
3,ADAM30,11085,84749
3,ADAM30,11085,22823
3,ADAM30,11085,9789
3,ADAM30,11085,5362
3,ADAM30,11085,196410
4,CPEB4,80315,3340
4,CPEB4,80315,9690
4,CPEB4,60485,80315
4,CPEB4,648,80315
5,CREB5,9586,9586
5,CREB5,9586,3725
5,CREB5,9586,11016
5,CREB5,9586,1386
5,CREB5,9586,3727
5,CREB5,9586,3725
5,CREB5,9586,571
5,CREB5,2355,9586
5,CREB5,2353,9586
5,CREB5,55366,9586
5,CREB5,373,9586
5,CREB5,1295,9586
5,CREB5,2353,9586
5,CREB5,2355,9586
5,CREB5,3801,9586
5,CREB5,3866,9586
5,CREB5,4188,9586
5,CREB5,672,9586
5,CREB5,7186,9586
5,CREB5,7205,9586
5,CREB5,8061,9586
5,CREB5,8601,9586
5,CREB5,9586,10252
5,CREB5,9586,10253
5,CREB5,9586,11030
5,CREB5,9586,23281
5,CREB5,9586,30008
5,CREB5,9586,54507
5,CREB5,9586,80705
5,CREB5,9586,83755
5,CREB5,9586,83897
5,CREB5,9586,83899
5,CREB5,9586,85280
5,CREB5,9586,85291
5,CREB5,9586,85376
5,CREB5,9586,125115
5,CREB5,9586,146664
5,CREB5,9586,386675
5,CREB5,9586,386676
5,CREB5,9586,386677
5,CREB5,9586,386678
5,CREB5,9586,386680
5,CREB5,9586,386681
5,CREB5,9586,386682
5,CREB5,9586,388677
5,CREB5,9586,440023
5,CREB5,3725,9586
5,CREB5,2130,9586
5,CREB5,3725,9586
5,CREB5,29124,9586
5,CREB5,3846,9586
5,CREB5,2353,9586
5,CREB5,25820,9586
5,CREB5,9586,1386
5,CREB5,9586,571
5,CREB5,3726,9586
5,CREB5,2355,9586
5,CREB5,9586,11016
5,CREB5,4302,9586
5,CREB5,55509,9586
5,CREB5,55844,9586
5,CREB5,9586,3725
5,CREB5,9586,3727
6,FASLG,356,23048
6,FASLG,356,11252
6,FASLG,356,2885
6,FASLG,2885,356
6,FASLG,23048,356
6,FASLG,11252,356
6,FASLG,11252,356
6,FASLG,23048,356
6,FASLG,356,8772
6,FASLG,356,841
6,FASLG,356,355
6,FASLG,356,8795
6,FASLG,637,356
6,FASLG,7430,356
6,FASLG,8772,356
6,FASLG,355,356
6,FASLG,5599,356
6,FASLG,4478,356
6,FASLG,843,356
6,FASLG,841,356
6,FASLG,387,356
6,FASLG,396,356
6,FASLG,356,7132
6,FASLG,2268,356
6,FASLG,4067,356
6,FASLG,2534,356
6,FASLG,356,7132
6,FASLG,356,355
6,FASLG,356,8772
6,FASLG,356,841
6,FASLG,8771,356
6,FASLG,356,2335
6,FASLG,4316,356
6,FASLG,355,356
6,FASLG,2534,356
6,FASLG,5783,356
6,FASLG,8771,356
6,FASLG,8771,356
6,FASLG,7430,356
6,FASLG,356,2534
6,FASLG,356,2885
6,FASLG,356,3932
6,FASLG,10750,356
6,FASLG,9402,356
6,FASLG,4690,356
6,FASLG,355,356
6,FASLG,356,4067
6,FASLG,356,5483
6,FASLG,356,26578
6,FASLG,356,257364
6,FASLG,356,3055
6,FASLG,356,4690
6,FASLG,356,7525
6,FASLG,356,6714
6,FASLG,356,51429
6,FASLG,356,57522
6,FASLG,356,285590
6,FASLG,356,695
6,FASLG,356,79574
6,FASLG,356,64333
6,FASLG,356,51168
6,FASLG,356,8440
6,FASLG,356,2533
6,FASLG,356,7006
6,FASLG,356,6708
6,FASLG,356,64092
6,FASLG,356,153769
6,FASLG,356,1740
6,FASLG,356,10174
6,FASLG,356,8935
6,FASLG,356,1398
6,FASLG,356,51517
6,FASLG,356,9644
6,FASLG,356,55971
6,FASLG,356,6457
6,FASLG,356,27134
6,FASLG,356,784
6,FASLG,356,58538
6,FASLG,356,5290
6,FASLG,356,23268
6,FASLG,356,9732
6,FASLG,356,8997
6,FASLG,356,346389
6,FASLG,356,9901
6,FASLG,356,2534
6,FASLG,356,8190
6,FASLG,356,23380
6,FASLG,356,50618
6,FASLG,356,653361
6,FASLG,356,3702
6,FASLG,356,785
6,FASLG,356,150221
6,FASLG,356,3702
6,FASLG,356,51429
6,FASLG,356,112574
6,FASLG,356,257364
6,FASLG,356,51429
6,FASLG,356,10845
6,FASLG,356,10609
6,FASLG,356,3275
6,FASLG,356,257364
6,FASLG,356,27102
6,FASLG,356,10536
6,FASLG,356,158747
6,FASLG,356,355
6,FASLG,356,8772
6,FASLG,356,8837
6,FASLG,356,841
6,FASLG,356,7205
6,FASLG,356,8601
6,FASLG,356,125115
6,FASLG,356,388677
6,FASLG,637,356
6,FASLG,8772,356
6,FASLG,355,356
6,FASLG,356,5295
6,FASLG,356,2534
6,FASLG,356,2335
6,FASLG,5599,356
6,FASLG,4316,356
6,FASLG,50618,356
6,FASLG,356,3275
6,FASLG,356,27102
6,FASLG,356,257364
6,FASLG,356,158747
6,FASLG,356,10536
7,FUT2,23390,2524
8,GPX4,55593,2879
8,GPX4,2879,231
8,GPX4,2879,226
8,GPX4,2879,230
8,GPX4,2879,1854
8,GPX4,2879,2023
8,GPX4,2879,2026
8,GPX4,2879,2027
8,GPX4,2879,2280
8,GPX4,2879,51022
8,GPX4,56605,2879
8,GPX4,2108,2879
8,GPX4,2109,2879
8,GPX4,7430,2879
8,GPX4,2286,2879
8,GPX4,3094,2879
8,GPX4,3028,2879
8,GPX4,3613,2879
8,GPX4,10204,2879
8,GPX4,441531,2879
8,GPX4,6647,2879
8,GPX4,6648,2879
8,GPX4,6876,2879
8,GPX4,8407,2879
8,GPX4,7086,2879
8,GPX4,7347,2879
8,GPX4,7416,2879
8,GPX4,7417,2879
8,GPX4,2879,3336
8,GPX4,2879,5603
8,GPX4,2879,9588
8,GPX4,55611,2879
8,GPX4,2879,4199
8,GPX4,2879,5300
8,GPX4,2879,10105
8,GPX4,2879,7001
8,GPX4,2879,9588
8,GPX4,9859,2879
8,GPX4,2879,10963
8,GPX4,119391,2879
9,HMHA1,7531,23526
9,HMHA1,4193,23526
10,IFNAR1,3454,7297
10,IFNAR1,3454,1173
10,IFNAR1,3454,7297
10,IFNAR1,3454,6773
10,IFNAR1,3454,3276
10,IFNAR1,3454,3276
10,IFNAR1,3454,23291
10,IFNAR1,3454,7297
10,IFNAR1,23291,3454
10,IFNAR1,23291,3454
10,IFNAR1,3454,23291
10,IFNAR1,23291,3454
10,IFNAR1,25865,3454
10,IFNAR1,3454,25865
10,IFNAR1,3454,8945
10,IFNAR1,3454,8651
10,IFNAR1,3454,8945
10,IFNAR1,3454,23291
10,IFNAR1,3454,1173
10,IFNAR1,3454,5295
10,IFNAR1,3454,6773
10,IFNAR1,3454,7297
10,IFNAR1,3454,6773
10,IFNAR1,3454,6773
10,IFNAR1,3454,6774
10,IFNAR1,3454,6778
10,IFNAR1,10399,3454
10,IFNAR1,3454,3455
10,IFNAR1,3456,3454
10,IFNAR1,8945,3454
10,IFNAR1,8797,3454
11,IFNGR2,3458,3460
11,IFNGR2,3460,3717
11,IFNGR2,9093,3460
11,IFNGR2,817,3460
11,IFNGR2,3460,6168
11,IFNGR2,1994,3460
12,IL31RA,133396,3958
12,IL31RA,133396,37
12,IL31RA,133396,10544
12,IL31RA,133396,23650
12,IL31RA,133396,5268
12,IL31RA,133396,10457
12,IL31RA,133396,221301
12,IL31RA,133396,254773
12,IL31RA,133396,79887
12,IL31RA,133396,51702
12,IL31RA,133396,6274
12,IL31RA,133396,202
12,IL31RA,133396,341208
12,IL31RA,133396,5333
12,IL31RA,133396,391123
12,IL31RA,133396,147409
12,IL31RA,133396,11072
12,IL31RA,133396,131578
12,IL31RA,133396,8991
12,IL31RA,133396,4759
12,IL31RA,133396,11187
12,IL31RA,133396,55
12,IL31RA,133396,810
13,IL6ST,3572,7088
13,IL6ST,3572,1271
13,IL6ST,1271,3572
13,IL6ST,367,3572
13,IL6ST,3977,3572
13,IL6ST,1025,3572
13,IL6ST,3716,3572
13,IL6ST,3716,3572
13,IL6ST,3570,3572
13,IL6ST,3572,5781
13,IL6ST,3572,9021
13,IL6ST,3572,9021
13,IL6ST,3572,5777
13,IL6ST,6464,3572
13,IL6ST,6464,3572
13,IL6ST,3572,3716
13,IL6ST,3572,5580
13,IL6ST,3572,6774
13,IL6ST,3572,5295
13,IL6ST,3055,3572
13,IL6ST,3572,2064
13,IL6ST,2064,3572
13,IL6ST,3572,2065
13,IL6ST,3572,7409
13,IL6ST,3572,2885
13,IL6ST,3572,2885
13,IL6ST,3572,3977
13,IL6ST,3572,9180
13,IL6ST,3572,7088
13,IL6ST,3572,5781
13,IL6ST,3572,3716
13,IL6ST,3572,3717
13,IL6ST,3572,7297
13,IL6ST,3572,5781
13,IL6ST,3572,9021
13,IL6ST,3572,5781
13,IL6ST,3572,4110
13,IL6ST,3572,29979
13,IL6ST,3572,30818
13,IL6ST,3572,54557
13,IL6ST,29108,3572
13,IL6ST,5008,3572
13,IL6ST,9021,3572
13,IL6ST,5008,3572
13,IL6ST,999,3572
13,IL6ST,16195,5781
13,IL6ST,16195,867
14,JAZF1,7182,221895
14,JAZF1,221895,5468
14,JAZF1,221895,6256
14,JAZF1,8089,221895
14,JAZF1,8089,221895
14,JAZF1,8295,221895
14,JAZF1,64769,221895
14,JAZF1,8607,221895
14,JAZF1,9643,221895
14,JAZF1,4610,221895
14,JAZF1,8089,221895
14,JAZF1,255626,221895
14,JAZF1,56505,221895
15,LACC1,144811,25942
15,LACC1,144811,57532
15,LACC1,144811,51742
15,LACC1,144811,23131
15,LACC1,144811,84312
15,LACC1,144811,51526
15,LACC1,144811,341208
15,LACC1,144811,7257
15,LACC1,144811,5268
15,LACC1,144811,5515
15,LACC1,144811,64426
15,LACC1,144811,11187
15,LACC1,144811,7840
15,LACC1,144811,8991
15,LACC1,144811,11072
15,LACC1,144811,131578
15,LACC1,144811,1164
15,LACC1,144811,440686
15,LACC1,144811,3021
15,LACC1,144811,147409
15,LACC1,144811,65986
15,LACC1,144811,8338
15,LACC1,144811,285973
15,LACC1,144811,391123
15,LACC1,144811,5355
15,LACC1,114299,144811
15,LACC1,5000,144811
15,LACC1,3300,144811
15,LACC1,144811,5159
15,LACC1,29886,144811
15,LACC1,144811,5268
15,LACC1,144811,285973
15,LACC1,144811,8338
15,LACC1,51526,144811
15,LACC1,144811,3021
15,LACC1,144811,7257
15,LACC1,9550,144811
15,LACC1,144811,11072
15,LACC1,144811,84312
15,LACC1,144811,64426
15,LACC1,144811,1164
15,LACC1,144811,440686
15,LACC1,7178,144811
15,LACC1,5879,144811
15,LACC1,3300,144811
15,LACC1,114299,144811
15,LACC1,144811,391123
15,LACC1,144811,341208
15,LACC1,144811,23131
15,LACC1,144811,254773
15,LACC1,144811,131578
15,LACC1,144811,65986
15,LACC1,10395,144811
15,LACC1,144811,147409
15,LACC1,144811,11187
15,LACC1,144811,221301
15,LACC1,5000,144811
15,LACC1,144811,8991
15,LACC1,144811,51742
15,LACC1,144811,25942
15,LACC1,144811,5355
15,LACC1,144811,55
15,LACC1,144811,7840
16,LGALS9,3965,1499
16,LGALS9,3965,3728
16,LGALS9,3965,6510
16,LGALS9,3965,5034
16,LGALS9,3965,2923
16,LGALS9,3965,10130
16,LGALS9,3965,5796
16,LGALS9,3965,11342
16,LGALS9,3965,79932
16,LGALS9,3965,493
16,LGALS9,3965,4233
16,LGALS9,3965,6558
16,LGALS9,3965,64121
16,LGALS9,3965,4238
16,LGALS9,3965,81035
16,LGALS9,3965,22795
16,LGALS9,3965,214
16,LGALS9,3965,135228
16,LGALS9,3965,5738
